"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"13148_2024_Article_1637","Willems","2024","Clinical Epigenetics","Germany; United States","10.1186/s13148-024-01637-7","Cross-sectional observational study","1058.0","42.65","Personality trait","Self-control (Brief Tangney Self-Control Scale in SOEP-G adults; Grit scale in TTP children/adolescents)","Behavioral/psychological","PhenoAge Acceleration; GrimAge Acceleration; DunedinPACE","Principal-component-based PhenoAge and GrimAge Acceleration residualized for chronological age; DunedinPACE","Standardized beta coefficient","-0.34","-0.51","-0.17","","0.001","Adjusted for socioeconomic contexts, BMI, smoking (where applicable), and genetic correlates of low self-control (polygenic scores)","Socioeconomic contexts, BMI, smoking, genetic correlates of low self-control","","-0.34",""
"13148_2024_Article_1706","Lee","2024","Clinical Epigenetics","South Korea","10.1186/s13148-024-01706-x","cohort","692.0","54.0","sleep quality","Pittsburgh Sleep Quality Index (PSQI) global score","continuous","GrimAgeAccel; DunedinPACE","epigenetic age acceleration","beta coefficient","0.167","","","0.066","0.0116","Model 2: adjusted for chronological age, sex, smoking status, drinking status, BMI","chronological age, sex, smoking status, drinking status, BMI","","0.167","0.066"
"Chen_2024_Article_1707","Chen","2024","Clinical Epigenetics","UK (data from UK Biobank and European ancestry cohorts)","10.1186/s13148-024-01707-w","Two-sample bidirectional Mendelian randomization","459915.0","54.8","Walking and sedentary behavior","Usual walking pace; walking duration; walking frequency; leisure sedentary behavior","Genetically predicted walking traits and sedentary behavior","GrimAge; PhenoAge; Horvath; Hannum","Epigenetic age acceleration (EAA) residuals from each clock","Beta coefficient (IVW MR estimate)","-1.842","-2.937","-0.747","","0.001","IVW MR with removal of linkage disequilibrium and pleiotropic SNPs; sensitivity analyses with weighted median, MR-Egger, RAPS, MR-PRESSO","Not explicitly reported; genetic instrumental variables selected to avoid confounding","Not reported","-1.842",""
"13148_2025_Article_1872","Zou","2025","Clinical Epigenetics","USA","10.1186/s13148-025-01872-6","Cohort study","1966.0","65.76","Epigenetic age acceleration","AAHorvathAge; AAHannumAge; AAPhenoAge; AAGrimAge; AAGrimAge2","Continuous (per 5-year increase)","HorvathAge, HannumAge, PhenoAge, GrimAge, GrimAge2","Epigenetic age acceleration (difference between DNAmAge and chronological age)","Hazard ratio (HR) per 5-year increase in EAA","1.44","","","","0.001","Adjusted for age, sex, race, marital status, education level, poverty income ratio, BMI, smoking status, alcohol status, physical activity, diabetes, renal disease, ASCVD, CHF, COPD, cancer, total cholesterol, albumin, eGFR","Age, sex, race, marital status, education level, poverty income ratio, BMI, smoking status, alcohol status, physical activity, diabetes, renal disease, ASCVD, CHF, COPD, cancer, total cholesterol, albumin, eGFR","EAA calculated as difference between predicted epigenetic clock and chronological age; exposure variables normalized to z-scores for per SD increase","0.3646",""
"Diao_2025_CE","Tingyue Diao","2025","Clinical Epigenetics","China","10.1186/s13148-025-01898-w","Cross-sectional and prospective cohort","3566.0","65.5","Sleep patterns","Sleep score integrating bedtime, sleep duration, sleep quality, and midday napping","Composite sleep pattern score (0-4, higher = healthier)","PhenoAgeAccel; GrimAgeAccel; DunedinPACE; DNAm mortality risk score (DNAm MS)","Epigenetic age acceleration residuals or direct measures from second-generation clocks","Beta coefficient (linear regression)","-0.208","-0.369","-0.047","","0.011","Adjusted for chronological age, sex, education level, smoking status, drinking status, physical activity, and body mass index","Chronological age, sex, education level, smoking status, drinking status, physical activity, body mass index","PhenoAgeAccel and GrimAgeAccel calculated as residuals regressing DNAm age on chronological age; DunedinPACE and DNAm MS used as direct measures","-0.208",""
"13148_2025_Article_1912","Nong","2025","Clinical Epigenetics","USA","10.1186/s13148-025-01912-1","cross-sectional","2529.0","63.5","biological aging pace","DunedinPoAm-measured pace of biological aging","continuous (per 1-SD increase) and tertiles","DunedinPoAm (third-generation epigenetic clock)","pace of biological aging","odds ratio","1.19","1.01","1.4","","0.043","Model 1 adjusted for age (50–65, >65) and sex","age, sex","","0.173953",""
"13148_2025_Article_1919","Ou","2025","Clinical Epigenetics","USA","10.1186/s13148-025-01919-8","Cross-sectional and prospective","284.0","67.57","Epigenetic age acceleration","GrimAgeAccel; GrimAge2Accel","Biological age acceleration","GrimAge; GrimAge2","Epigenetic age acceleration residuals","Hazard ratio","1.075","1.043","1.107","","0.0001","Adjusted for age and sex","Age, sex","","0.0723",""
"41514_2025_Article_265","Yang Pan","2025","npj Aging","USA","10.1038/s41514-025-00265-6","Cross-sectional observational study with two-sample Mendelian randomization","1252.0","48.2","Epigenetic age acceleration","HannumAA; PhenoAA; GrimAA; IEAA","Blood-derived DNA methylation-based epigenetic age acceleration measures","Horvath's DNA methylation age calculator (IEAA, HannumAA, PhenoAA, GrimAA)","Standard deviation increase in epigenetic age acceleration","Beta coefficient (standardized effect size)","-0.147","-0.211","-0.083","","0.001","Model 3: adjusted for age, sex, race, education, smoking, alcohol, depression, BMI, HbA1c, LDL-C, blood pressure, diabetes, hypertension and lipid medications, and log-transformed white blood cell count","Age, sex, race, education, smoking status, alcohol consumption, depression, BMI, HbA1c, LDL cholesterol, systolic blood pressure, diabetes medication, hypertension medication, lipid-lowering medication, white blood cell count","Beta mixture quantile dilation (BMIQ) normalization within Horvath's DNA methylation age calculator","-0.147",""
"41598_2022_Article_8160","Cardenas","2022","Scientific Reports","Costa Rica","10.1038/s41598-022-08160-w","cross-sectional analysis within a prospective cohort","489.0","79.4","cigarette smoking","smoking status (current, former, never); ever smoking (>100 cigarettes lifetime)","self-reported smoking behavior","Horvath Pan Tissue; Horvath Skin-Blood; Hannum Blood; PhenoAge; GrimAge; DNAmTL","AgeAccelerationResidual (residuals of epigenetic age regressed on chronological age); Extrinsic EAA (EEAA); Intrinsic EAA (IEAA); DNAmTL residuals","mean difference in years (or kb for DNAmTL) of epigenetic age acceleration relative to non-smokers","3.07","2.41","3.74","","0.001","linear regression adjusted for sex, chronological age, BMI, education, household assets, genetic principal components, estimated leukocyte composition","sex, chronological age, BMI, education, household assets, genetic principal components (PC1, PC2), estimated leukocyte composition (CD8+ T cells, CD4+ T cells, NK, B-cells, monocytes, neutrophils)","AgeAccelerationResidual calculated as residuals from linear regression of epigenetic age on chronological age; DNAmTL residuals similarly calculated","3.07",""
"41598_2022_Article_26433","Bao","2022","Scientific Reports","UK","10.1038/s41598-022-26433-2","Cross-sectional analysis within a longitudinal cohort","3140.0","54.5","Socioeconomic position and social mobility","Childhood social class, adulthood social class, social mobility (upward, downward, stable)","Socioeconomic position (categorical: disadvantaged, intermediate, advantaged) and social mobility status","Horvath; Hannum; Phenoage; DunedinPoAm","Residuals of linear regression of DNAm age on chronological age adjusted for batch and cell composition","Mean difference in age acceleration (years) by social mobility status","0.47","0.19","0.75","","0.001","Adjusted for sex, standardized chronological age, age squared, batch effect (plate), white blood cell composition","Sex, age, age squared, batch effect (plate), white blood cell composition; sensitivity analyses included marital status and education","Age acceleration calculated as residuals from linear regression of DNAm age on chronological age","0.47",""
"41598_2024_Article_84957","Wen Zhao","2025","Scientific Reports","Europe","10.1038/s41598-024-84957-1","Two-sample Mendelian randomization","134710.0","","Sleep traits","Self-reported insomnia; accelerometer-measured sleep efficiency; number of sleep episodes","Genetic instrumental variables from GWAS","GrimAge; HannumAge; IEAA","Epigenetic age acceleration (EAA)","Odds ratio","1.17","1.04","1.31","","0.007","GWAS adjusted for age, sex, principal components of ancestry, genotyping array, and study-specific variables","Age, sex, 10 principal components of ancestry, genotyping array, genetic correlation matrix, study center, season when activity-monitor worn","MR inverse variance weighted (IVW) method as primary; MR-Egger, weighted median, weighted mode, simple mode as sensitivity","0.157",""
"DO-HEALTH Bio-Age","Bischoff-Ferrari","2025","Nature Aging","Switzerland","10.1038/s43587-024-00793-y","Randomized controlled trial, 2x2x2 factorial design","777.0","75.47","Supplementation and exercise","Vitamin D (2000 IU/day), Omega-3 (1 g/day), home exercise program (SHEP)","Intervention","PhenoAge, GrimAge2, DunedinPACE (primary); also GrimAge, Horvath, Hannum (secondary)","Standardized change in age acceleration or pace of aging from baseline to 3 years","Standardized mean difference","-0.16","-0.3","-0.02","","","Analysis of covariance adjusted for chronological age (continuous + spline at 85 years), sex, history of falls before study enrollment, BMI, study site, and baseline biological age measure","Chronological age, sex, history of falls, BMI, study site, baseline biological age","Standardized units converted to months of age retardation using (standardized estimate × s.d. + mean) × 12","-0.16",""
"ACEL-22-e13779","Joshi","2023","Aging Cell","Canada","10.1111/acel.13779","cross-sectional","1445.0","63.0","Adverse childhood experiences (ACEs)","Cumulative ACEs score; individual ACEs including emotional abuse, parental separation or divorce","Self-reported questionnaire","DNAm GrimAge; DNAm PhenoAge","Epigenetic age acceleration residuals (regressing epigenetic clock on chronological age)","Regression coefficient (β)","0.07","0.02","0.11","","0.05","Adjusted for sex, annual household income, and number of poor health behaviors (cigarette smoking, physical activity, alcohol consumption, nutritional intake)","Sex, annual household income, number of poor health behaviors (smoking, physical activity, alcohol consumption, nutritional intake)","Epigenetic age acceleration calculated as residuals from regression of epigenetic age on chronological age","0.07",""
"ACEL-22-e13828","Fox","2023","Aging Cell","Germany","10.1111/acel.13828","cross-sectional","3567.0","55.5","Physical activity","Step counts; MET-Hours; % time in moderate-to-vigorous physical activity (MVPA)","Objective accelerometer-based physical activity","GrimAge (main), also Hannum, Horvath, PhenoAge (exploratory)","Epigenetic Age Acceleration (GrimAge acceleration)","Regression coefficient (β) for linear and quadratic terms","-0.38","-0.65","-0.12","","0.005","Adjusted for age, age², sex, education, batch effect, cell proportions, smoking status, and season","Age, age², sex, education, batch effect, cell proportions, smoking status, season","","-0.38",""
"ACEL-24-e70182","Brooke","2025","Aging Cell","Austria/Germany/USA/Denmark/UK/Liechtenstein","10.1111/acel.70182","Longitudinal observational study with repeated measures","24.0","26.23","Physical activity","Strenuous exercise (before vs. after soccer game)","Acute vigorous physical activity","DNAmGrimAge2, DNAmFitAge, Skin & Blood Clock","Calibrated epigenetic age (GrimAge2 cal., FitAge cal.)","Mean difference in epigenetic age (years)","-7.07","-10.32","-3.71","1.69","6.13e-05","Linear mixed-effects model with chronological age and timepoints as fixed effects; player ID and batch number as random effects","Chronological age, timepoints (before, after game, rested), player ID, batch number","Calibration of GrimAge2 and FitAge predictions to actual age range of players","-7.07","1.69"
"aging-09-419","Quach","2017","AGING (Albany NY)","USA; Italy","","cross-sectional and longitudinal cohort study","4575.0","64.0","diet; alcohol consumption; education; physical activity; BMI; metabolic syndrome; metformin use","fish intake; poultry intake; alcohol consumption; education level; physical activity; BMI; metabolic syndrome symptoms; metformin use","behavioral and lifestyle factors","Intrinsic Epigenetic Age Acceleration (IEAA); Extrinsic Epigenetic Age Acceleration (EEAA)","IEAA and EEAA (years)","regression coefficient (β) and correlation coefficient (r)","0.09","","","","2e-08","multivariable linear models adjusted for ethnicity, dataset, sex (InCHIANTI), and potential confounders including biomarkers and metabolic syndrome symptoms","ethnicity, dataset (WHI BA23 or AS315), sex (InCHIANTI), biomarkers (CRP, insulin, glucose, triglycerides, HDL cholesterol), metabolic syndrome symptoms","Stouffer's method meta-analysis of ethnically stratified linear models","0.09",""
"Lu_2019_aging-11-101684","Lu","2019","AGING","USA","","Cohort study with meta-analysis","7375.0","63.0","DNAm-based biomarkers","DNAm GrimAge, DNAm PAI-1, DNAm smoking pack-years, and other DNAm-based surrogate plasma protein markers","Epigenetic biomarker","DNAm GrimAge","AgeAccelGrim (age-adjusted DNAm GrimAge residual)","Hazard ratio (HR) for time-to-death (all-cause mortality)","1.09","","","","0.001","Adjusted for chronological age, sex, and race/ethnicity strata","Chronological age, sex, race/ethnicity, DNAm-based surrogate markers of smoking pack-years and 7 plasma proteins (ADM, B2M, Cystatin C, GDF-15, Leptin, PAI-1, TIMP-1)","Linear transformation of elastic net Cox regression mortality risk estimate to units of years","0.086",""
"aging-13-202814","Martin","2021","AGING","USA","","cross-sectional analysis within a prospective cohort","158.0","54.0","Neighborhood social environment","Neighborhood poverty (z-score); Neighborhood quality (PC7: presence of abandoned cars and people on street); Neighborhood social cohesion","Area-level socioeconomic and social environment measures","Horvath; Hannum; Levine's PhenoAge","Age acceleration residuals (DNAm age regressed on chronological age)","Beta coefficient (linear regression)","2.1","0.4","3.8","","","Adjusted for race/ethnicity, education level, employment status, lifetime smoking, lifetime alcohol intake, and years residing in current neighborhood","Race/ethnicity, education, employment, smoking status, alcohol intake, years in neighborhood; additionally adjusted for blood immune cell proportions in sensitivity analyses","DNAm age residuals calculated by regressing DNAm age on chronological age; principal components analysis used to summarize neighborhood quality variables","2.1",""
"NCT03472820","Fitzgerald","2021","AGING","USA","","randomized controlled clinical trial","43.0","59.4","diet and lifestyle intervention","diet, sleep, exercise, relaxation guidance, probiotics and phytonutrients","multimodal intervention","Horvath DNAmAge clock (2013)","DNAmAge (years)","mean difference in DNAmAge change between treatment and control groups","-3.23","","","","0.018","unpaired two-tailed t-test comparing DNAmAge change between groups","baseline age, group allocation; no further covariates reported","Illumina Methylation Epic Array on saliva samples; DNAmAge calculated using online Horvath DNAmAge clock","-3.23",""
"aging-14-203872","Freni-Sterrantino","2022","AGING","Finland","","Cohort study (Northern Finland Birth Cohort 1966)","604.0","46.0","Work-related stress and employment characteristics","Job strain, effort-reward imbalance, job status, working hours, occupational group, job security, occupational physical activity, shift work","Psychosocial work stressors and employment characteristics","Horvath, Hannum, PhenoAge, GrimAge, DunedinPoAm","Epigenetic age acceleration (years) and pace of aging (percentage)","Regression coefficient (β) representing years of increase/decrease in epigenetic age acceleration or rate of aging","2.058","0.517","3.599","","","Adjusted for sex, education, smoking habit, alcohol consumption, BMI, physical activity","Sex, education, smoking habit, alcohol consumption, BMI, physical activity","","2.058",""
"aging-14-204327","Freni-Sterrantino","2022","AGING","United Kingdom","","cross-sectional","631.0","","Job stability","Unemployed vs paid employment","Employment status","Horvath, Hannum, PhenoAge, GrimAge, DunedinPoAm, DunedinPACE","Epigenetic age acceleration (years) and pace of aging","Difference in epigenetic age acceleration (years) or pace of aging","3.21","0.89","5.53","","0.05","Adjusted for sex, alcohol consumption, smoking, BMI, and educational level","sex, alcohol consumption, smoking, BMI, educational level","","3.21",""
