study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
glac019,Seligman,2022,Journals of Gerontology: Biological Sciences,USA,10.1093/gerona/glac019,prospective cohort,395,77.8,epigenetic age acceleration,Intrinsic epigenetic age acceleration (IEAA); Extrinsic epigenetic age acceleration (EEAA); GrimAge; PhenoAge,DNA methylation-based epigenetic clocks,"IEAA, EEAA, GrimAge, PhenoAge",age acceleration residuals from regression of epigenetic age on chronological age,regression coefficient,0.001,-0.013,0.014,,0.924,"adjusted for age, sex, smoking status (current and former), BMI, and baseline frailty","age, sex, smoking status (current and former), BMI, baseline frailty",cohort,United States,0.006887755102040817,BETA_UNSTD,True,False,0.001,0.006887755102040817,False,False,False,False,False,yi = beta; sei = SE derived from CI,Unstandardized regression coefficient,EXCLUDED_WRONG_DIRECTION,Unstandardized regression coefficient
glad242,Zavala,2024,"The Journals of Gerontology, Series A: Biological Sciences and Medical Sciences",USA,10.1093/gerona/glad242,secondary data analysis of observational cohort,142,47.2,Epigenetic age acceleration,"Horvath 1, Horvath 2, Hannum, PhenoAge, GrimAge clocks",DNA methylation-based epigenetic clocks,"Horvath 1, Horvath 2, Hannum, PhenoAge, GrimAge",Difference between epigenetic age and chronological age (age acceleration),regression coefficient (B) for mean cognitive performance and intraindividual variability,-0.25,,,0.11,0.05,"Multilevel models adjusted for chronological age, gender, education, smoking status, genetic ancestry (PC1, PC2)","Chronological age, gender, education, current smoking status, genetic ancestry (PC1, PC2)",secondary data analysis of observational cohort,United States,0.11,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,"WRONG DIRECTION: outcome appears to be cognitive performance, not EAA — verify",EXCLUDED_WRONG_DIRECTION,EAA is predictor; outcome is cognitive performance
Kuo_2021_BLSA,Kuo,2021,Frontiers in Aging Neuroscience,United States,10.3389/fnagi.2021.790926,cross-sectional,236,68.39,epigenetic age acceleration,AgeAccelerationResidualHannum; IEAA (Horvath); AgeAccelPheno; AgeAccelGrim; DunedinPoAm,epigenetic clock measures,Hannum; Horvath; PhenoAge; GrimAge; DunedinPoAm,standardized effect size per 1 SD increase in epigenetic age acceleration,standardized regression coefficient,0.2,0.06,0.33,,0.004,"Model 3: adjusted for sex, black race, age, time difference between epigenetic and hearing measurements, hypertension, diabetes, congestive heart failure, peripheral arterial disease, and smoking history","sex, black race, age, time difference between measurements, hypertension, diabetes, congestive heart failure, peripheral arterial disease, smoking history (4 categories)",cross-sectional,United States,0.06887755102040817,BETA_STD,True,False,0.2,0.06887755102040817,False,False,False,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized; sensitivity pool B,EXCLUDED_WRONG_DIRECTION,Standardized; sensitivity pool B
Lin_2026_iScience,Shiying Lin,2026,iScience,China,10.1016/j.isci.2025.114478,Cross-sectional and prospective observational,384463,57.0,Biological aging,PhenoAge; PhenoAge acceleration,Composite clinical biomarker-based biological age,PhenoAge,PhenoAge acceleration (PhenoAge - chronological age),Hazard ratio,1.024,1.022,1.025,,0.001,"Adjusted for age, gender, BMI, ethnicity, smoking status (UK Biobank only), alcohol intake, history of hypertension, history of diabetes, education level, Townsend Deprivation Index (UK Biobank only), MET (UK Biobank only), household income and poverty ratio (NHANES only), and physical activity (NHANES only). NHANES analyses accounted for complex survey design.","Age, gender, BMI, ethnicity, smoking status, alcohol intake, history of hypertension, history of diabetes, education level, Townsend Deprivation Index, MET, household income, poverty ratio, physical activity",Cross-sectional and prospective observational,China,0.000765306122448952,HR,True,False,0.02371652661731606,0.0007477349002190573,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox model HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox model HR; secondary pool D; yi=log(HR)
Michaud_2023_CLUEII,Dominique S. Michaud,2023,AGING,USA,,nested case-control,416,57.1,epigenetic age acceleration,"Horvath, Hannum, PhenoAge clocks",DNA methylation-based epigenetic age acceleration,Horvath; Hannum; PhenoAge,age acceleration residuals (intrinsic and extrinsic),odds ratio per 1 SD increase,0.82,0.64,1.05,,0.12,"conditional logistic regression adjusting for batch effects, BMI, methylation-predicted pack-years; matching factors (age, sex, smoking status and intensity, cigar/pipe smoking, date of blood draw) implicitly adjusted","batch effects, BMI, methylation-predicted pack-years; matching factors: age, sex, smoking status and intensity, cigar/pipe smoking, date of blood draw",case-control,United States,0.1045918367346939,OR,True,False,-0.1984509387238383,0.1262952211219009,True,False,False,False,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR per SD; secondary pool C; yi=log(OR),EXCLUDED_WRONG_DIRECTION,OR per SD; secondary pool C; yi=log(OR)
nihms-1835407,Spartano,2023,Med Sci Sports Exerc,USA,10.1249/MSS.0000000000003041,cross-sectional,2435,54.9,Physical activity and sedentary time,"['moderate to vigorous physical activity (MVPA)', 'steps per day', 'sedentary time']",accelerometer-measured,"['Hannum', 'Horvath', 'GrimAge', 'EEAA', 'IEAA', 'AdjGrimAge']","['extrinsic epigenetic age acceleration (EEAA)', 'intrinsic epigenetic age acceleration (IEAA)', 'adjusted GrimAge (AdjGrimAge)']",standardized beta,"{'MVPA_EEAA': -0.06, 'MVPA_GrimAge': -0.105, 'MVPA_AdjGrimAge': -0.069, 'steps_GrimAge': -0.067, 'steps_AdjGrimAge': -0.065}",,,"{'MVPA_EEAA': 0.023, 'MVPA_GrimAge': 0.02, 'MVPA_AdjGrimAge': 0.02, 'steps_GrimAge': 0.018, 'steps_AdjGrimAge': 0.019}","{'MVPA_EEAA': 0.009, 'MVPA_GrimAge': '<0.001', 'MVPA_AdjGrimAge': '<0.001', 'steps_GrimAge': '<0.001', 'steps_AdjGrimAge': '<0.001'}","Adjusted for age, sex, smoking status, cohort-laboratory indicator, accelerometer wear time; additional models adjusted for BMI","['age', 'sex', 'smoking status', 'cohort-laboratory indicator', 'accelerometer wear time', 'BMI (in secondary models)']",cross-sectional,United States,"{'MVPA_EEAA': 0.023, 'MVPA_GrimAge': 0.02, 'MVPA_AdjGrimAge': 0.02, 'steps_GrimAge': 0.018, 'steps_AdjGrimAge': 0.019}",BETA_STD,False,False,,,False,False,False,False,False,effect_value is non-numeric (dict/string) — NEEDS_REVIEW,Standardized beta; sensitivity pool B,EXCLUDED_NON_NUMERIC_VALUE,Standardized beta; sensitivity pool B
nihms-1971594,Thomas,2024,Ann Neurol,USA,10.1002/ana.26900,prospective cohort,1644,69.6,diet,MIND diet score (average over 4 visits spanning 1991-2008),long-term dietary adherence,DunedinPACE epigenetic clock,"standardized DunedinPACE (mean=0, SD=1)","absolute difference in dementia cases per 10,000 person-years",-33.6,-55.6,-11.7,,0.05,"adjusted for age, sex, total energy intake, DNA methylation processing facility","age, sex, total energy intake, DNA methylation processing facility; sensitivity analyses additionally adjusted for education, marital status, APOEε4 status, physical activity, BMI, smoking status, cardiovascular disease, diabetes, blood cell composition",cohort,United States,11.19897959183674,NEEDS_REVIEW,False,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,"WRONG OUTCOME: outcome is dementia incidence, not EAA — exclude from quantitative synthesis",EXCLUDED_WRONG_OUTCOME,"Outcome is dementia incidence per 10k person-years, not EAA"
nihpp-2024.08.21.24312373v2,Angelico Mendy,2024,medRxiv,USA,10.1101/2024.08.21.24312373,prospective cohort,2105,63.96,epigenetic age acceleration and pace of aging,"EAA from Horvath, Hannum, SkinBlood, Pheno, Zhang, Lin, Weidner, Vidal-Bralo, GrimAge2 clocks; DunedinPoAm pace of aging",biological age acceleration measured by DNA methylation clocks,Horvath; Hannum; SkinBlood; Pheno; Zhang; Lin; Weidner; Vidal-Bralo; GrimAge2; DunedinPoAm,residuals of epigenetic age regressed on chronological age (per 5-year increase for EAA; per 10% increase for DunedinPoAm),hazard ratio,1.5,1.32,1.71,,0.0001,"adjusted for chronological age, poverty income ratio, pack-years of cigarette smoking, white blood cell composition (continuous); gender, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension (categorical)","chronological age, PIR, pack-years smoking, WBC composition, gender, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension",cohort,United States,0.09948979591836732,HR,True,False,0.4054651081081644,0.06603613110109412,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox HR; secondary pool D; yi=log(HR)
oursler-et-al-2025,Oursler,2025,AIDS Research and Human Retroviruses,USA,10.1177/08892229251411059,observational study,1076,52.4,epigenetic age acceleration markers,"GrimAge acceleration (GrimAA), PhenoAge acceleration (PhenoAA), HannumAge acceleration (HannumAA), HorvathAge acceleration (HorvathAA)",epigenetic clock residuals (EAA markers) dichotomized as >0 vs <0,"Horvath, Hannum, PhenoAge, GrimAge",presence of epigenetic age acceleration (EAA > 0) vs absence (EAA < 0),odds ratio,1.45,1.1,1.92,,0.01,"adjusted for age, CD4 count, HIV viral load, smoking, congestive heart failure, chronic obstructive pulmonary disease, liver fibrosis","age, CD4 count, HIV viral load, smoking status, congestive heart failure, chronic obstructive pulmonary disease, liver fibrosis (FIB-4 score)",observational study,United States,0.2091836734693877,OR,True,False,0.371563556432483,0.1420956648559605,True,False,False,False,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),EXCLUDED_WRONG_DIRECTION,OR; secondary pool C; yi=log(OR)
pnas.202215840,Jessica D. Faul,2023,PNAS,USA,10.1073/pnas.2215840120,population-based panel study,3581,68.25,Epigenetic age acceleration,"Horvath, Hannum, PhenoAge, GrimAge, DunedinPACE clocks (original and PC-trained)",DNA methylation-based epigenetic clocks,"Horvath (2013), Hannum (2013), PhenoAge (2018), GrimAge (2019), DunedinPACE (2022)",Age acceleration residuals (clock value regressed on chronological age); DunedinPACE pace of aging,Regression coefficient or Odds Ratio (OR) for 4-year mortality,1.179,1.131,1.23,,0.001,"Adjusted for demographics, SES, health behaviors, and cell-type proportions","Age, sex, race/ethnicity, education, health behaviors (obesity, smoking, heavy drinking), depression, childhood SES, cell-type proportions",population-based panel study,United States,0.02525510204081632,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA predicts 4-year mortality — exclude,EXCLUDED_WRONG_DIRECTION,EAA predicts 4-year mortality — reversed direction
s12885-025-13760-6,Liu,2025,BMC Cancer,United States,10.1186/s12885-025-13760-6,retrospective cohort study,2643,62.32,Phenotypic age acceleration,Phenotypic age acceleration (PAA) status (positive residuals vs negative residuals) and age acceleration residual (AAR) continuous,biological age acceleration biomarker,Phenotypic age (based on 10 physiological biomarkers),Phenotypic age acceleration residuals (PAA) and age acceleration residual (AAR),Hazard Ratio,2.07,1.69,2.54,,0.001,"Model 3: adjusted for age, gender, race, marital status, poverty income ratio, education level, BMI, Healthy Eating Index-2015, physical activity, smoking status, alcohol intake, cardiovascular disease, hypertension, hyperlipidemia, and diabetes","age, gender, race, marital status, poverty income ratio, education level, BMI, HEI-2015, physical activity, smoking status, alcohol intake, cardiovascular disease, hypertension, hyperlipidemia, diabetes",cohort,United States,0.2168367346938776,HR,True,False,0.7275486072772777,0.1039376408406794,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox model HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox model HR; secondary pool D; yi=log(HR)
s12889-025-21430-2,Zhan,2025,BMC Public Health,United States,10.1186/s12889-025-21430-2,cross-sectional,15075,46.7,systemic inflammation; phenotypic age acceleration,Systemic Immune-inflammation Index (SII); Phenotypic Age Acceleration (PhenoAgeAccel),biomarker,Phenotypic Age,PhenoAgeAccel (Phenotypic Age - chronological age),adjusted odds ratio,1.56,1.31,1.85,,0.001,"Model 3: adjusted for sex, age, race/ethnicity, education level, marital status, family poverty income ratio, BMI, alcohol drinking status, smoking status, diabetes, hypertension, and survey cycle","sex, age, race/ethnicity, education level, marital status, family poverty income ratio, BMI, alcohol drinking status, smoking status, diabetes, hypertension, survey cycle",cross-sectional,United States,0.1377551020408163,OR,True,False,0.4446858212614457,0.08805063823397277,True,False,False,False,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,Adjusted OR; secondary pool C; yi=log(OR),EXCLUDED_WRONG_DIRECTION,Adjusted OR; secondary pool C; yi=log(OR)
s12916-024-03832-y,Pan,2025,BMC Medicine,UK,10.1186/s12916-024-03832-y,prospective cohort study,376083,57.0,Phenotypic Age Acceleration (PhenoAgeAccel),PhenoAgeAccel (biologically older > 0 vs biologically younger ≤ 0); also analyzed as continuous per 5 years increase and quartiles,biological age acceleration based on clinical biomarkers,PhenoAgeAccel,PhenoAgeAccel (difference between phenotypic age and chronological age),hazard ratio,1.77,1.71,1.82,,0.001,"Adjusted for age, sex, race, income, education, family history, obesity, smoking status, drinking status, physical activity, healthy diet, sleep status, hypertension, high cholesterol, and cancer","age, sex, race, income, education, family history, obesity, smoking status, drinking status, physical activity, healthy diet, sleep status, hypertension, high cholesterol, cancer",cohort,United Kingdom,0.02806122448979594,HR,True,False,0.5709795465857378,0.0159038598403407,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox HR; secondary pool D; yi=log(HR)
s12937-025-01245-y,Zhang,2025,Nutrition Journal,USA,10.1186/s12937-025-01245-y,prospective cohort,2958,65.58,Dietary fiber intake; Phenotypic age acceleration,Dietary fiber intake (top quartile vs lower quartiles); PhenoAge acceleration (>0 vs ≤0),dietary intake; epigenetic/phenotypic age acceleration,PhenoAge,PhenoAge acceleration (biological age - chronological age),hazard ratio,2.12,1.78,2.52,,0.001,"fully adjusted for age, sex, ethnicity, marital status, education, smoking, BMI, physical activity, hypertension, diabetes mellitus, cardiovascular disease, and dietary energy intake","age, sex, ethnicity, marital status, education, smoking status, BMI, physical activity, hypertension, diabetes mellitus, cardiovascular disease, dietary energy intake",cohort,United States,0.1887755102040816,HR,True,False,0.7514160886839212,0.08868508602534135,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox HR; secondary pool D; yi=log(HR)
s41467-025-66106-y,Mavrommatis,2025,Nature Communications,"Scotland, UK",10.1038/s41467-025-66106-y,prospective cohort,18859,,epigenetic age acceleration,"14 epigenetic clocks including first-, second-, and third-generation clocks (e.g., Hannum, Horvath, PhenoAge, GrimAge v1 and v2, DunedinPACE, DunedinPoAm38, Zhang10, DNAm telomere length, YingCausAge, YingDamAge, YingAdaptAge, Lin)",DNA methylation-based epigenetic clocks,"first, second, and third generation epigenetic clocks",age acceleration residuals (clock residuals regressed on chronological age and estimated cell proportions),hazard ratio per standard deviation increase in epigenetic age acceleration,1.54,1.46,1.62,,7.1e-62,"fully adjusted Cox proportional hazards model controlling for age, sex, BMI, smoking pack years, alcohol consumption, education, socioeconomic deprivation, and estimated cell proportions; family structure controlled via random effect","age, sex, BMI, smoking pack years, alcohol intake, education, Scottish Index of Multiple Deprivation (SIMD), estimated blood cell proportions (excluding basophils), family relatedness (random effect)",cohort,United Kingdom,0.04081632653061228,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA is EXPOSURE — exclude,EXCLUDED_WRONG_DIRECTION,EAA is exposure — reversed direction
srivatsa-et-al-2025,Srivatsa,2025,Journal of the American Heart Association,United States,10.1161/JAHA.125.044946,retrospective cohort study,1264,69.0,epigenetic aging,DNAm GrimAge and epigenetic age acceleration,biological age biomarker,GrimAge,age acceleration (residual of GrimAge on chronological age),hazard ratio,1.05,1.02,1.08,,0.001,"fully adjusted for demographics, behaviors, comorbidities, medications","age, sex, race and ethnicity, education, income, smoking status, BMI, blood pressure, antihypertensive and lipid-lowering medication use, diabetes status, total cholesterol, LDL cholesterol; HF models additionally adjusted for health insurance",cohort,United States,0.01530612244897961,HR,True,False,0.04879016416943204,0.01458122802039507,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox HR; secondary pool D; yi=log(HR)
