study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
41598_2022_Article_26433,Bao,2022,Scientific Reports,UK,10.1038/s41598-022-26433-2,Cross-sectional analysis within a longitudinal cohort,3140,54.5,Socioeconomic position and social mobility,"Childhood social class, adulthood social class, social mobility (upward, downward, stable)","Socioeconomic position (categorical: disadvantaged, intermediate, advantaged) and social mobility status",Horvath; Hannum; Phenoage; DunedinPoAm,Residuals of linear regression of DNAm age on chronological age adjusted for batch and cell composition,Mean difference in age acceleration (years) by social mobility status,0.47,0.19,0.75,,0.001,"Adjusted for sex, standardized chronological age, age squared, batch effect (plate), white blood cell composition","Sex, age, age squared, batch effect (plate), white blood cell composition; sensitivity analyses included marital status and education",Cross-sectional analysis within a longitudinal cohort,United Kingdom,0.1428571428571429,BETA_UNSTD,False,False,0.47,0.1428571428571429,False,True,False,False,False,yi = beta; sei = SE derived from CI,Mean difference in years,BETA_UNSTD,Mean difference in years
41598_2022_Article_8160,Cardenas,2022,Scientific Reports,Costa Rica,10.1038/s41598-022-08160-w,cross-sectional analysis within a prospective cohort,489,79.4,cigarette smoking,"smoking status (current, former, never); ever smoking (>100 cigarettes lifetime)",self-reported smoking behavior,Horvath Pan Tissue; Horvath Skin-Blood; Hannum Blood; PhenoAge; GrimAge; DNAmTL,AgeAccelerationResidual (residuals of epigenetic age regressed on chronological age); Extrinsic EAA (EEAA); Intrinsic EAA (IEAA); DNAmTL residuals,mean difference in years (or kb for DNAmTL) of epigenetic age acceleration relative to non-smokers,3.07,2.41,3.74,,0.001,"linear regression adjusted for sex, chronological age, BMI, education, household assets, genetic principal components, estimated leukocyte composition","sex, chronological age, BMI, education, household assets, genetic principal components (PC1, PC2), estimated leukocyte composition (CD8+ T cells, CD4+ T cells, NK, B-cells, monocytes, neutrophils)",cross-sectional analysis within a prospective cohort,Costa Rica,0.3392857142857143,BETA_UNSTD,False,False,3.07,0.3392857142857143,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years EAA relative to non-smokers; DNAmTL kb part — note in conversion,BETA_UNSTD,Years EAA relative to non-smokers; DNAmTL kb part — note in conversion
ACEL-22-e13779,Joshi,2023,Aging Cell,Canada,10.1111/acel.13779,cross-sectional,1445,63.0,Adverse childhood experiences (ACEs),"Cumulative ACEs score; individual ACEs including emotional abuse, parental separation or divorce",Self-reported questionnaire,DNAm GrimAge; DNAm PhenoAge,Epigenetic age acceleration residuals (regressing epigenetic clock on chronological age),Regression coefficient (β),0.07,0.02,0.11,,0.05,"Adjusted for sex, annual household income, and number of poor health behaviors (cigarette smoking, physical activity, alcohol consumption, nutritional intake)","Sex, annual household income, number of poor health behaviors (smoking, physical activity, alcohol consumption, nutritional intake)",cross-sectional,Canada,0.02295918367346939,BETA_UNSTD,False,False,0.07,0.02295918367346939,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear regression beta,BETA_UNSTD,Linear regression beta
ACEL-22-e13828,Fox,2023,Aging Cell,Germany,10.1111/acel.13828,cross-sectional,3567,55.5,Physical activity,Step counts; MET-Hours; % time in moderate-to-vigorous physical activity (MVPA),Objective accelerometer-based physical activity,"GrimAge (main), also Hannum, Horvath, PhenoAge (exploratory)",Epigenetic Age Acceleration (GrimAge acceleration),Regression coefficient (β) for linear and quadratic terms,-0.38,-0.65,-0.12,,0.005,"Adjusted for age, age², sex, education, batch effect, cell proportions, smoking status, and season","Age, age², sex, education, batch effect, cell proportions, smoking status, season",cross-sectional,Germany,0.1352040816326531,BETA_UNSTD,False,False,-0.38,0.1352040816326531,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear term extracted; quadratic term — verify which was extracted,BETA_UNSTD,Linear term extracted; quadratic term — verify which was extracted
ACEL-24-e70182,Brooke,2025,Aging Cell,Austria/Germany/USA/Denmark/UK/Liechtenstein,10.1111/acel.70182,Longitudinal observational study with repeated measures,24,26.23,Physical activity,Strenuous exercise (before vs. after soccer game),Acute vigorous physical activity,"DNAmGrimAge2, DNAmFitAge, Skin & Blood Clock","Calibrated epigenetic age (GrimAge2 cal., FitAge cal.)",Mean difference in epigenetic age (years),-7.07,-10.32,-3.71,1.69,6.13e-05,Linear mixed-effects model with chronological age and timepoints as fixed effects; player ID and batch number as random effects,"Chronological age, timepoints (before, after game, rested), player ID, batch number",Longitudinal observational study with repeated measures,Austria/Germany/USA/Denmark/UK/Liechtenstein,1.69,BETA_UNSTD,False,False,-7.07,1.69,False,True,False,False,False,yi = beta; sei = SE from paper,Mean difference in years,BETA_UNSTD,Mean difference in years
aging-13-202814,Martin,2021,AGING,USA,,cross-sectional analysis within a prospective cohort,158,54.0,Neighborhood social environment,Neighborhood poverty (z-score); Neighborhood quality (PC7: presence of abandoned cars and people on street); Neighborhood social cohesion,Area-level socioeconomic and social environment measures,Horvath; Hannum; Levine's PhenoAge,Age acceleration residuals (DNAm age regressed on chronological age),Beta coefficient (linear regression),2.1,0.4,3.8,,,"Adjusted for race/ethnicity, education level, employment status, lifetime smoking, lifetime alcohol intake, and years residing in current neighborhood","Race/ethnicity, education, employment, smoking status, alcohol intake, years in neighborhood; additionally adjusted for blood immune cell proportions in sensitivity analyses",cross-sectional analysis within a prospective cohort,United States,0.8673469387755102,BETA_UNSTD,False,False,2.1,0.8673469387755102,False,True,False,False,False,yi = beta; sei = SE derived from CI,Standard linear beta,BETA_UNSTD,Standard linear beta
aging-14-203872,Freni-Sterrantino,2022,AGING,Finland,,Cohort study (Northern Finland Birth Cohort 1966),604,46.0,Work-related stress and employment characteristics,"Job strain, effort-reward imbalance, job status, working hours, occupational group, job security, occupational physical activity, shift work",Psychosocial work stressors and employment characteristics,"Horvath, Hannum, PhenoAge, GrimAge, DunedinPoAm",Epigenetic age acceleration (years) and pace of aging (percentage),Regression coefficient (β) representing years of increase/decrease in epigenetic age acceleration or rate of aging,2.058,0.517,3.599,,,"Adjusted for sex, education, smoking habit, alcohol consumption, BMI, physical activity","Sex, education, smoking habit, alcohol consumption, BMI, physical activity",Cohort study (Northern Finland Birth Cohort 1966),Finland,0.7862244897959184,BETA_UNSTD,False,False,2.058,0.7862244897959184,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years EAA; primary metric,BETA_UNSTD,Years EAA; primary metric
aging-14-204327,Freni-Sterrantino,2022,AGING,United Kingdom,,cross-sectional,631,,Job stability,Unemployed vs paid employment,Employment status,"Horvath, Hannum, PhenoAge, GrimAge, DunedinPoAm, DunedinPACE",Epigenetic age acceleration (years) and pace of aging,Difference in epigenetic age acceleration (years) or pace of aging,3.21,0.89,5.53,,0.05,"Adjusted for sex, alcohol consumption, smoking, BMI, and educational level","sex, alcohol consumption, smoking, BMI, educational level",cross-sectional,United Kingdom,1.183673469387755,BETA_UNSTD,False,False,3.21,1.183673469387755,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years difference; DunedinPACE pace-of-aging part is dimensionless — sub-flag if pace,BETA_UNSTD,Years difference; DunedinPACE pace-of-aging part is dimensionless — sub-flag if pace
aging-15-205153,Wang,2023,AGING,USA,10.18632/aging.205153,observational cohort study,3823,,alcohol consumption,"long-term average total alcohol consumption and types (beer, wine, liquor); cross-sectional alcohol consumption; recent binge drinking","continuous (drinks per day), categorical (non-drinker, light, at-risk, heavy drinker), recent binge drinking (yes/no)","GrimAge, PhenoAge, Horvath’s age, Hannum’s age, skin and blood clock","GrimAge acceleration (GAA), PhenoAge acceleration (PAA)",beta coefficient (years increase in EAA per additional drink per day),0.43,,,0.15,2.1e-08,"adjusted for sex, physical activity index, education level, BMI, smoking (pack-year), chronological age, lab index; additional analyses adjusted for white blood cell compositions and long-term average covariates","sex, physical activity index, education level, BMI, smoking (pack-year), chronological age, lab index, white blood cell compositions (in sensitivity analyses)",cohort,United States,0.15,BETA_UNSTD,False,False,0.43,0.15,False,True,False,False,False,yi = beta; sei = SE from paper,Years per drink/day; primary metric,BETA_UNSTD,Years per drink/day; primary metric
Bozack_2023_ClinicalEpigenetics_13148_2023_Article_1480,Bozack,2023,Clinical Epigenetics,,10.1186/s13148-023-01480-2,pre-birth cohort,485,,maternal smoking during pregnancy,maternal smoking during pregnancy (vs. never smokers),environmental/behavioral,skin & blood clock,epigenetic age acceleration (EAA) at birth,beta coefficient (weeks),1.17,-0.09,2.42,,0.05,mutually adjusted robust linear regression controlling for estimated cell type proportions,"maternal age, pre-pregnancy BMI, education, prenatal smoking, newborn sex, preterm birth, birth weight for GA z-score, self-reported race/ethnicity, estimated cell type proportions",pre-birth cohort,,0.6403061224489796,BETA_UNSTD,False,False,1.17,0.6403061224489796,False,True,False,False,False,yi = beta; sei = SE derived from CI,CAUTION: unit is weeks not years; conversion_notes set; convert /52 if clock in weeks,BETA_UNSTD,CAUTION: unit is weeks not years; conversion_notes set; convert /52 if clock in weeks
Bozack_2026,Anne K. Bozack,2026,npj Aging,USA,10.1038/s41514-025-00298-x,Cross-sectional,1771,64.8,Dietary fatty acids,Total fatty acids; saturated fatty acids (SFA); monounsaturated fatty acids (MUFA); polyunsaturated fatty acids (PUFA); omega-3; omega-6; PUFA:SFA ratio; fatty acid subtypes,Dietary intake (24-hour recall),Horvath1; Horvath2; Hannum; Lin; Zhang; Vidal-Bralo; PhenoAge; GrimAge2; DNAmTL; epiTOC; DunedinPoAm,Epigenetic age acceleration (years or SDs depending on clock),Beta coefficient (years change in epigenetic age per doubling of intake or per unit increase in ratio),-1.05,-1.87,-0.22,,0.05,"Adjusted for age, age squared, sex, race and ethnicity, BMI, education level, occupation, poverty to income ratio, smoking status, alcohol intake, physical activity, and total energy intake","Age, age2, sex, race/ethnicity, BMI, education, occupation, poverty-income ratio, smoking status, alcohol intake, physical activity, total energy intake",cross-sectional,United States,0.4209183673469388,BETA_UNSTD,False,False,-1.05,0.4209183673469388,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per doubling; note exposure unit in conversion_notes,BETA_UNSTD,Years per doubling; note exposure unit in conversion_notes
Chen_2024_Article_1707,Chen,2024,Clinical Epigenetics,UK (data from UK Biobank and European ancestry cohorts),10.1186/s13148-024-01707-w,Two-sample bidirectional Mendelian randomization,459915,54.8,Walking and sedentary behavior,Usual walking pace; walking duration; walking frequency; leisure sedentary behavior,Genetically predicted walking traits and sedentary behavior,GrimAge; PhenoAge; Horvath; Hannum,Epigenetic age acceleration (EAA) residuals from each clock,Beta coefficient (IVW MR estimate),-1.842,-2.937,-0.747,,0.001,"IVW MR with removal of linkage disequilibrium and pleiotropic SNPs; sensitivity analyses with weighted median, MR-Egger, RAPS, MR-PRESSO",Not explicitly reported; genetic instrumental variables selected to avoid confounding,Mendelian randomization,UK (data from UK Biobank and European ancestry cohorts),0.5586734693877551,BETA_UNSTD,False,False,-1.842,0.5586734693877551,False,True,False,False,False,yi = beta; sei = SE derived from CI,Mendelian Randomisation IVW; causal beta estimate; flag MR for sensitivity,BETA_UNSTD,Mendelian Randomisation IVW; causal beta estimate; flag MR for sensitivity
Diao_2025_CE,Tingyue Diao,2025,Clinical Epigenetics,China,10.1186/s13148-025-01898-w,Cross-sectional and prospective cohort,3566,65.5,Sleep patterns,"Sleep score integrating bedtime, sleep duration, sleep quality, and midday napping","Composite sleep pattern score (0-4, higher = healthier)",PhenoAgeAccel; GrimAgeAccel; DunedinPACE; DNAm mortality risk score (DNAm MS),Epigenetic age acceleration residuals or direct measures from second-generation clocks,Beta coefficient (linear regression),-0.208,-0.369,-0.047,,0.011,"Adjusted for chronological age, sex, education level, smoking status, drinking status, physical activity, and body mass index","Chronological age, sex, education level, smoking status, drinking status, physical activity, body mass index",Cross-sectional and prospective cohort,China,0.08214285714285714,BETA_UNSTD,False,False,-0.208,0.08214285714285714,False,True,False,False,False,yi = beta; sei = SE derived from CI,Standard linear beta,BETA_UNSTD,Standard linear beta
aging-16-205943,Chen,2024,AGING,USA,,prospective cohort,359,49.3,cognitive function,adolescent crystallized intelligence (PPVT-15); midlife crystallized intelligence (WTAR); midlife fluid intelligence (DS),continuous,Horvath; Hannum; GrimAge; PhenoAge; DunedinPACE,residuals of epigenetic clocks regressed on chronological age; DunedinPACE pace of aging,beta coefficient,-0.048,,,0.015,0.001693,linear regression adjusted for potential confounders including adult socioeconomic status,"adult socioeconomic status, sex, race/ethnicity, BMI, smoking, alcohol use, cell type proportions",cohort,United States,0.015,BETA_UNSTD,False,False,-0.048,0.015,False,True,False,False,False,yi = beta; sei = SE from paper,Linear beta,BETA_UNSTD,Linear beta
EATLancet-2026-npjAging,Jie Li,2026,npj Aging,UK,10.1038/s41514-025-00306-0,prospective cohort,87282,56.1,dietary patterns,EAT-Lancet diet index; plant-based diet index (PDI); healthy plant-based diet index (hPDI); unhealthy plant-based diet index (uPDI),dietary pattern adherence scores,Klemera-Doubal biological age (KDM-BA); PhenoAge; telomere length (TL),KDM-BA acceleration; PhenoAge acceleration; telomere length percent change,beta coefficient (years or % change per 1 SD increment in diet score),-0.53,-0.57,-0.49,,0.001,"Model 2: adjusted for age, sex, race, Townsend deprivation index, BMI, smoking status, healthy drinking, physical activity, healthy sleep score, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, and use of antihypertensive, lipid-lowering, and diabetes medications","age, sex, race, Townsend deprivation index, BMI, smoking status, healthy drinking, physical activity, healthy sleep score, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, medication use",cohort,United Kingdom,0.02040816326530611,BETA_UNSTD,False,False,-0.53,0.02040816326530611,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years part extracted; verify in conversion_notes,BETA_UNSTD,Years part extracted; verify in conversion_notes
ebiom2019,Xiaoyu Li,2019,EBioMedicine,United States,10.1016/j.ebiom.2019.11.020,prospective cohort,622,68.7,Sleep disordered breathing,Apnea-hypopnea index (AHI); Percentage of sleep time with oxygen saturation <90% (Per90); Arousal index,continuous,DNAm-PhenoAge (Levine's clock); DNAm-Age (Horvath's clock),DNAm-PhenoAge acceleration; DNAm-Age acceleration,linear regression coefficient (beta),0.03,0.001,0.06,,0.05,"Adjusted for chronological age, sex, race/ethnicity, household income, study site, BMI, smoking, and drinking status","chronological age, sex, race/ethnicity, household income, study site, BMI, smoking status, drinking status",cohort,United States,0.01505102040816327,BETA_UNSTD,False,False,0.03,0.01505102040816327,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
gbae176,Eun Young Choi,2024,"The Journals of Gerontology, Series B: Psychological Sciences and Social Sciences",USA,10.1093/geronb/gbae176,Cross-sectional analysis of nationally representative sample,3146,68.8,Neighborhood social stressors,Socioeconomic deprivation; observed disorder; perceived disorder; low social cohesion,Composite indices and binary/continuous measures from census and self-report,PCHorvath; PCHannum; PCPhenoAge; PCGrimAge; DunedinPACE,Epigenetic age acceleration residuals (PC clocks) and DunedinPACE pace of aging,Regression coefficient (B),0.022,0.016,0.028,,0.001,"Model 3: adjusted for demographics, socioeconomic factors, and health behaviors","Age, gender, race/ethnicity, PLQ interview year, years in neighborhood, marital status, household size, social network size, education, household wealth, smoking status, drinking status, obesity, physical activity",Cross-sectional analysis of nationally representative sample,United States,0.003061224489795919,BETA_UNSTD,False,False,0.022,0.003061224489795919,False,True,False,False,False,yi = beta; sei = SE derived from CI,Unstandardized regression coefficient,BETA_UNSTD,Unstandardized regression coefficient
glab149,Kresovich,2021,Journals of Gerontology: Biological Sciences,USA,10.1093/gerona/glab149,prospective cohort (case-cohort sub-sample),2316,55.3,Alcohol consumption,Average lifetime alcohol use (drinks/year drinking); Average recent alcohol use (drinks/week),self-reported alcohol consumption,"Hannum, Horvath, PhenoAge, GrimAge","Hannum AgeAccel, Horvath AgeAccel, PhenoAgeAccel, GrimAgeAccel",beta coefficient (years increase in GrimAgeAccel per unit increase in alcohol consumption),0.27,0.04,0.5,,0.02,"Adjusted for education level, body mass index, waist-to-hip ratio, smoking status, physical activity; mutually adjusted for lifetime and recent alcohol consumption","education level (high school/GED, attended college, advanced degree), body mass index (continuous, kg/m2), waist-to-hip ratio (continuous), smoking status (never, former, current), physical activity (continuous, METs/week)",prospective cohort (case-cohort sub-sample),United States,0.1173469387755102,BETA_UNSTD,False,False,0.27,0.1173469387755102,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per alcohol unit; primary metric,BETA_UNSTD,Years per alcohol unit; primary metric
glad118,Joshi,2024,Journals of Gerontology: Medical Sciences,Canada,10.1093/gerona/glad118,cross-sectional,1445,59.7,Neighborhood deprivation; depressive symptoms,Neighborhood material and/or social deprivation (high vs low); depressive symptoms score (CES-D10),socioeconomic environment; psychological,DNAm GrimAge; DNAm PhenoAge,residuals from regression of biological age on chronological age,regression coefficient (b),0.66,0.21,1.12,,0.05,"Adjusted for sex, annual household income, number of people living in household, number of poor health behaviors, number of chronic conditions","sex, annual household income, number of people in household, number of poor health behaviors, number of chronic conditions",cross-sectional,Canada,0.2321428571428572,BETA_UNSTD,False,False,0.66,0.2321428571428572,False,True,False,False,False,yi = beta; sei = SE derived from CI,Unstandardized b,BETA_UNSTD,Unstandardized b
harris_2024_oi_240863_1723470391.17425,Harris,2024,JAMA Network Open,USA,10.1001/jamanetworkopen.2024.27889,cohort study,4237,38.4,Sociodemographic and lifestyle factors,"Education (no college vs college or higher), annual income (<$25,000 vs ≥$100,000), obesity status (severe obesity vs reference range/underweight), exercise (no bouts/week vs ≥5 bouts/week), tobacco use (current smoker vs never smoker)",Categorical,"Second- and third-generation epigenetic clocks (PhenoAgeAA, GrimAgeAA, DunedinPACE) and first-generation clock (Horvath1AA)","Epigenetic age acceleration (years for PhenoAgeAA, GrimAgeAA, Horvath1AA; SD units for DunedinPACE)",Beta coefficient (difference in years or SD units of biological aging),1.7,0.68,2.72,,,Multivariable model adjusted for all sociodemographic and lifestyle characteristics and chronological age,"Age, sex, race/ethnicity, immigrant generation, education, income, region, rural/urban residence, obesity status, exercise, tobacco use, alcohol use",cohort,United States,0.5204081632653061,BETA_UNSTD,False,False,1.7,0.5204081632653061,False,True,False,False,False,yi = beta; sei = SE derived from CI,Reported in years; SD-unit cases need sub-flag — check effect_value scale,BETA_UNSTD,Reported in years; SD-unit cases need sub-flag — check effect_value scale
