PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38701212","Early-life exposure to tobacco, genetic susceptibility, and accelerated biological aging in adulthood","Cui F, Tang L, Li D, Ma Y, Wang J, Xie J, Su B, Tian Y, Zheng X.","Sci Adv. 2024 May 3;10(18):eadl3747. doi: 10.1126/sciadv.adl3747. Epub 2024 May 3.","Cui F","Sci Adv","2024","2024/05/03","PMC11068008","","10.1126/sciadv.adl3747"
"37743489","The effect of polyphenols on DNA methylation-assessed biological age attenuation: the DIRECT PLUS randomized controlled trial","Yaskolka Meir A, Keller M, Hoffmann A, Rinott E, Tsaban G, Kaplan A, Zelicha H, Hagemann T, Ceglarek U, Isermann B, Shelef I, Blüher M, Stumvoll M, Li J, Haange SB, Engelmann B, Rolle-Kampczyk U, von Bergen M, Hu FB, Stampfer MJ, Kovacs P, Liang L, Shai I.","BMC Med. 2023 Sep 25;21(1):364. doi: 10.1186/s12916-023-03067-3.","Yaskolka Meir A","BMC Med","2023","2023/09/24","PMC10519069","","10.1186/s12916-023-03067-3"
"37648648","Day-to-day deviations in sleep parameters and biological aging: Findings from the NHANES 2011-2014","Wang X, Xu Y, Li X, Mansuri A, McCall WV, Liu Y, Su S.","Sleep Health. 2023 Dec;9(6):940-946. doi: 10.1016/j.sleh.2023.07.018. Epub 2023 Aug 28.","Wang X","Sleep Health","2023","2023/08/30","PMC10843622","NIHMS1921798","10.1016/j.sleh.2023.07.018"
"40191209","The mediating role of biological age in the association between dietary index for gut microbiota and sarcopenia","Zhang J, Guo J, Zhang J, Liu H, Zhou L, Cheng C, Cao H.","Front Immunol. 2025 Mar 21;16:1552525. doi: 10.3389/fimmu.2025.1552525. eCollection 2025.","Zhang J","Front Immunol","2025","2025/04/07","PMC11968661","","10.3389/fimmu.2025.1552525"
"38954910","Phthalate exposure and markers of biological aging: The mediating role of inflammation and moderating role of dietary nutrient intake","Xu X, Zheng J, Li J, Shen Y, Zhu L, Jin Y, Zhang M, Yang S, Du J, Wang H, Chen B, Dong R.","Ecotoxicol Environ Saf. 2024 Aug;281:116649. doi: 10.1016/j.ecoenv.2024.116649. Epub 2024 Jul 1.","Xu X","Ecotoxicol Environ Saf","2024","2024/07/02","","","10.1016/j.ecoenv.2024.116649"
"40301976","Early-life smoking, cardiovascular disease risk, and the mediating role of DNA methylation biomarkers of aging","Sheng C, Zhou R, Wang H, Lin G, Cai Z, Wang W.","J Transl Med. 2025 Apr 29;23(1):484. doi: 10.1186/s12967-025-06492-5.","Sheng C","J Transl Med","2025","2025/04/29","PMC12038996","","10.1186/s12967-025-06492-5"
"37118425","Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial","Waziry R, Ryan CP, Corcoran DL, Huffman KM, Kobor MS, Kothari M, Graf GH, Kraus VB, Kraus WE, Lin DTS, Pieper CF, Ramaker ME, Bhapkar M, Das SK, Ferrucci L, Hastings WJ, Kebbe M, Parker DC, Racette SB, Shalev I, Schilling B, Belsky DW.","Nat Aging. 2023 Mar;3(3):248-257. doi: 10.1038/s43587-022-00357-y. Epub 2023 Feb 9.","Waziry R","Nat Aging","2023","2023/04/28","PMC10148951","NIHMS1860504","10.1038/s43587-022-00357-y"
"36896965","Healthy Lifestyle Behaviors and Biological Aging in the U.S. National Health and Nutrition Examination Surveys 1999-2018","Thomas A, Belsky DW, Gu Y.","J Gerontol A Biol Sci Med Sci. 2023 Aug 27;78(9):1535-1542. doi: 10.1093/gerona/glad082.","Thomas A","J Gerontol A Biol Sci Med Sci","2023","2023/03/10","PMC10460553","","10.1093/gerona/glad082"
"34535961","DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study","Fiorito G, Caini S, Palli D, Bendinelli B, Saieva C, Ermini I, Valentini V, Assedi M, Rizzolo P, Ambrogetti D, Ottini L, Masala G.","Aging Cell. 2021 Oct;20(10):e13439. doi: 10.1111/acel.13439. Epub 2021 Sep 18.","Fiorito G","Aging Cell","2021","2021/09/18","PMC8520727","","10.1111/acel.13439"
"39657624","Association between ultra-processed food intake and biological ageing in US adults: findings from National Health and Nutrition Examination Survey (NHANES) 2003-2010","Cardoso BR, Liu J, Machado P, Kwon D, Belsky DW, Martinez Steele E.","Age Ageing. 2024 Nov 28;53(12):afae268. doi: 10.1093/ageing/afae268.","Cardoso BR","Age Ageing","2024","2024/12/10","PMC11631094","","10.1093/ageing/afae268"
"36947707","Potential reversal of biological age in women following an 8-week methylation-supportive diet and lifestyle program: a case series","Fitzgerald KN, Campbell T, Makarem S, Hodges R.","Aging (Albany NY). 2023 Mar 22;15(6):1833-1839. doi: 10.18632/aging.204602. Epub 2023 Mar 22.","Fitzgerald KN","Aging (Albany NY)","2023","2023/03/22","PMC10085584","","10.18632/aging.204602"
"39819329","Dietary carotenoid intakes and biological aging among US adults, NHANES 1999-2018","Qi X, Wang X, Cheng L, Li Y, Dang K, Yang S, Wang Y, Zhou R, Zhang C, Li Y.","Nutr J. 2025 Jan 16;24(1):9. doi: 10.1186/s12937-025-01079-8.","Qi X","Nutr J","2025","2025/01/17","PMC11737250","","10.1186/s12937-025-01079-8"
"40266024","Dietary associations with reduced epigenetic age: a secondary data analysis of the methylation diet and lifestyle study","Villanueva JL, Vita AA, Zwickey H, Fitzgerald K, Hodges R, Zimmerman B, Bradley R.","Aging (Albany NY). 2025 Apr 17;17(4):994-1010. doi: 10.18632/aging.206240. Epub 2025 Apr 17.","Villanueva JL","Aging (Albany NY)","2025","2025/04/23","PMC12074822","","10.18632/aging.206240"
"39821867","The associations of long-term physical activity in adulthood with later biological ageing and all-cause mortality - a prospective twin study","Kankaanpää A, Tolvanen A, Joensuu L, Waller K, Heikkinen A, Kaprio J, Ollikainen M, Sillanpää E.","Eur J Epidemiol. 2025 Jan;40(1):107-122. doi: 10.1007/s10654-024-01200-x. Epub 2025 Jan 17.","Kankaanpää A","Eur J Epidemiol","2025","2025/01/17","PMC11799114","","10.1007/s10654-024-01200-x"
"35718862","Effect of Diet, Exercise, or Both on Biological Age and Healthy Aging in Older Adults with Obesity: Secondary Analysis of a Randomized Controlled Trial","Ho E, Qualls C, Villareal DT.","J Nutr Health Aging. 2022;26(6):552-557. doi: 10.1007/s12603-022-1812-x.","Ho E","J Nutr Health Aging","2022","2022/06/19","PMC9236175","NIHMS1812889","10.1007/s12603-022-1812-x"
"39073814","Socioeconomic Status, Lifestyle, and DNA Methylation Age Among Racially and Ethnically Diverse Adults: NIMHD Social Epigenomics Program","Maunakea AK, Phankitnirundorn K, Peres R, Dye C, Juarez R, Walsh C, Slavens C, Park SL, Wilkens LR, Le Marchand L.","JAMA Netw Open. 2024 Jul 1;7(7):e2421889. doi: 10.1001/jamanetworkopen.2024.21889.","Maunakea AK","JAMA Netw Open","2024","2024/07/29","PMC11287425","","10.1001/jamanetworkopen.2024.21889"
"34525884","Unstable Childhood, Adult Adversity, and Smoking Accelerate Biological Aging Among Middle-Age African Americans: Similar Findings for GrimAge and PoAm","Simons RL, Ong ML, Lei MK, Klopack E, Berg M, Zhang Y, Philibert R, Beach SSR.","J Aging Health. 2022 Aug-Sep;34(4-5):487-498. doi: 10.1177/08982643211043668. Epub 2021 Sep 15.","Simons RL","J Aging Health","2022","2021/09/16","PMC9851128","NIHMS1861888","10.1177/08982643211043668"
"38855439","Effect of Modifiable Lifestyle Factors on Biological Aging","Lu WH.","JAR Life. 2024 Jun 5;13:88-92. doi: 10.14283/jarlife.2024.13. eCollection 2024.","Lu WH","JAR Life","2024","2024/06/10","PMC11161669","","10.14283/jarlife.2024.13"
"36808764","Childhood sleep health and epigenetic age acceleration in late adolescence: Cross-sectional and longitudinal analyses","Balfour D, Melton PE, McVeigh JA, Huang RC, Eastwood PR, Wanstall S, Reynolds AC, Cohen-Woods S.","Acta Paediatr. 2023 May;112(5):1001-1010. doi: 10.1111/apa.16719. Epub 2023 Mar 3.","Balfour D","Acta Paediatr","2023","2023/02/22","PMC10952569","","10.1111/apa.16719"
"29753480","Characterizing social behavior, activity, and associations between cognition and behavior upon social grouping of weaned dairy calves","Horvath KC, Miller-Cushon EK.","J Dairy Sci. 2018 Aug;101(8):7287-7296. doi: 10.3168/jds.2018-14545. Epub 2018 May 10.","Horvath KC","J Dairy Sci","2018","2018/05/14","","","10.3168/jds.2018-14545"
"39510725","Evaluating the connection between diet quality, EpiNutrient intake and epigenetic age: an observational study","Bordoni L, Agostinho de Sousa J, Zhuo J, von Meyenn F.","Am J Clin Nutr. 2024 Nov;120(5):1143-1155. doi: 10.1016/j.ajcnut.2024.08.033. Epub 2024 Oct 11.","Bordoni L","Am J Clin Nutr","2024","2024/11/07","","","10.1016/j.ajcnut.2024.08.033"
"35313970","Genome-wide association studies identify novel genetic loci for epigenetic age acceleration among survivors of childhood cancer","Dong Q, Song N, Qin N, Chen C, Li Z, Sun X, Easton J, Mulder H, Plyler E, Neale G, Walker E, Li Q, Ma X, Chen X, Huang IC, Yasui Y, Ness KK, Zhang J, Hudson MM, Robison LL, Wang Z.","Genome Med. 2022 Mar 22;14(1):32. doi: 10.1186/s13073-022-01038-6.","Dong Q","Genome Med","2022","2022/03/22","PMC8939156","","10.1186/s13073-022-01038-6"
"40362718","Association Between Body Iron Status and Biological Aging","Von Holle A, Ramamurthy S, Díaz Santana MV, Kresovich JK, Taylor JA, Xu Z, O'Brien KM, Sandler DP, Weinberg CR.","Nutrients. 2025 Apr 23;17(9):1409. doi: 10.3390/nu17091409.","Von Holle A","Nutrients","2025","2025/05/14","PMC12073140","","10.3390/nu17091409"
"39228731","Epigenetic age acceleration and mortality risk prediction in U.S. adults","Mendy A, Mersha TB.","medRxiv [Preprint]. 2024 Aug 29:2024.08.21.24312373. doi: 10.1101/2024.08.21.24312373.","Mendy A","medRxiv","2024","2024/09/04","PMC11370508","","10.1101/2024.08.21.24312373"
"35810614","Epigenetic GrimAge acceleration and cognitive impairment in bipolar disorder","Lima CNC, Suchting R, Scaini G, Cuellar VA, Favero-Campbell AD, Walss-Bass C, Soares JC, Quevedo J, Fries GR.","Eur Neuropsychopharmacol. 2022 Sep;62:10-21. doi: 10.1016/j.euroneuro.2022.06.007. Epub 2022 Jul 8.","Lima CNC","Eur Neuropsychopharmacol","2022","2022/07/10","PMC9427697","NIHMS1818162","10.1016/j.euroneuro.2022.06.007"
"36566336","Social mobility across the lifecourse and DNA methylation age acceleration in adults in the UK","Bao Y, Gorrie-Stone T, Hannon E, Hughes A, Andrayas A, Neilson G, Burrage J, Mill J, Schalkwyk L, Kumari M.","Sci Rep. 2022 Dec 24;12(1):22284. doi: 10.1038/s41598-022-26433-2.","Bao Y","Sci Rep","2022","2022/12/24","PMC9790005","","10.1038/s41598-022-26433-2"
"37733001","Parenting Practices May Buffer the Impact of Adversity on Epigenetic Age Acceleration Among Young Children With Developmental Delays","Sullivan ADW, Bozack AK, Cardenas A, Comer JS, Bagner DM, Forehand R, Parent J.","Psychol Sci. 2023 Oct;34(10):1173-1185. doi: 10.1177/09567976231194221. Epub 2023 Sep 21.","Sullivan ADW","Psychol Sci","2023","2023/09/21","PMC10626625","","10.1177/09567976231194221"
"30388785","Biological Age Is Associated with the Active Use of Nutrition Data","Han KT, Kim DW, Kim SJ, Kim SJ.","Int J Environ Res Public Health. 2018 Nov 1;15(11):2431. doi: 10.3390/ijerph15112431.","Han KT","Int J Environ Res Public Health","2018","2018/11/04","PMC6266208","","10.3390/ijerph15112431"
"34038541","Alcohol Consumption and Methylation-Based Measures of Biological Age","Kresovich JK, Martinez Lopez AM, Garval EL, Xu Z, White AJ, Sandler DP, Taylor JA.","J Gerontol A Biol Sci Med Sci. 2021 Nov 15;76(12):2107-2111. doi: 10.1093/gerona/glab149.","Kresovich JK","J Gerontol A Biol Sci Med Sci","2021","2021/05/26","PMC8599006","","10.1093/gerona/glab149"
"37354880","Household air pollution and epigenetic aging in Xuanwei, China","Blechter B, Cardenas A, Shi J, Wong JYY, Hu W, Rahman ML, Breeze C, Downward GS, Portengen L, Zhang Y, Ning B, Ji BT, Cawthon R, Li J, Yang K, Bozack A, Dean Hosgood H, Silverman DT, Huang Y, Rothman N, Vermeulen R, Lan Q.","Environ Int. 2023 Aug;178:108041. doi: 10.1016/j.envint.2023.108041. Epub 2023 Jun 17.","Blechter B","Environ Int","2023","2023/06/24","PMC11812304","NIHMS1915286","10.1016/j.envint.2023.108041"
"34975461","Epigenetic Age Acceleration and Hearing: Observations From the Baltimore Longitudinal Study of Aging","Kuo PL, Moore AZ, Lin FR, Ferrucci L.","Front Aging Neurosci. 2021 Dec 15;13:790926. doi: 10.3389/fnagi.2021.790926. eCollection 2021.","Kuo PL","Front Aging Neurosci","2021","2022/01/03","PMC8714776","","10.3389/fnagi.2021.790926"
"37890265","Air pollution and epigenetic aging among Black and White women in the US","Koenigsberg SH, Chang CJ, Ish J, Xu Z, Kresovich JK, Lawrence KG, Kaufman JD, Sandler DP, Taylor JA, White AJ.","Environ Int. 2023 Nov;181:108270. doi: 10.1016/j.envint.2023.108270. Epub 2023 Oct 17.","Koenigsberg SH","Environ Int","2023","2023/10/27","PMC10872847","NIHMS1943037","10.1016/j.envint.2023.108270"
"40298664","Environmental Health Is Overlooked in Longevity Research","Mesnage R.","Antioxidants (Basel). 2025 Mar 31;14(4):421. doi: 10.3390/antiox14040421.","Mesnage R","Antioxidants (Basel)","2025","2025/04/29","PMC12024188","","10.3390/antiox14040421"
"40632934","Exercise as a geroprotector: focusing on epigenetic aging","Kawamura T, Higuchi M, Radak Z, Taki Y.","Aging (Albany NY). 2025 Jul 8;17(7):1583-1589. doi: 10.18632/aging.206278. Epub 2025 Jul 8.","Kawamura T","Aging (Albany NY)","2025","2025/07/09","PMC12339019","","10.18632/aging.206278"
"37889500","Alcohol consumption and epigenetic age acceleration across human adulthood","Wang M, Li Y, Lai M, Nannini DR, Hou L, Joehanes R, Huan T, Levy D, Ma J, Liu C.","Aging (Albany NY). 2023 Oct 26;15(20):10938-10971. doi: 10.18632/aging.205153. Epub 2023 Oct 26.","Wang M","Aging (Albany NY)","2023","2023/10/27","PMC10637803","","10.18632/aging.205153"
"35102751","The Impact of Psychosocial Stress from Life Trauma and Racial Discrimination on Epigenetic Aging-A Systematic Review","Lim S, Nzegwu D, Wright ML.","Biol Res Nurs. 2022 Apr;24(2):202-215. doi: 10.1177/10998004211060561. Epub 2022 Feb 1.","Lim S","Biol Res Nurs","2022","2022/02/01","PMC9096197","","10.1177/10998004211060561"
"39073811","Sociodemographic and Lifestyle Factors and Epigenetic Aging in US Young Adults: NIMHD Social Epigenomics Program","Harris KM, Levitt B, Gaydosh L, Martin C, Meyer JM, Mishra AA, Kelly AL, Aiello AE.","JAMA Netw Open. 2024 Jul 1;7(7):e2427889. doi: 10.1001/jamanetworkopen.2024.27889.","Harris KM","JAMA Netw Open","2024","2024/07/29","PMC11287395","","10.1001/jamanetworkopen.2024.27889"
"33714950","Neighborhood environment, social cohesion, and epigenetic aging","Martin CL, Ward-Caviness CK, Dhingra R, Zikry TM, Galea S, Wildman DE, Koenen KC, Uddin M, Aiello AE.","Aging (Albany NY). 2021 Mar 14;13(6):7883-7899. doi: 10.18632/aging.202814. Epub 2021 Mar 14.","Martin CL","Aging (Albany NY)","2021","2021/03/14","PMC8034890","","10.18632/aging.202814"
"38407506","Diet, Pace of Biological Aging, and Risk of Dementia in the Framingham Heart Study","Thomas A, Ryan CP, Caspi A, Liu Z, Moffitt TE, Sugden K, Zhou J, Belsky DW, Gu Y.","Ann Neurol. 2024 Jun;95(6):1069-1079. doi: 10.1002/ana.26900. Epub 2024 Feb 26.","Thomas A","Ann Neurol","2024","2024/02/26","PMC11102315","NIHMS1971594","10.1002/ana.26900"
"32077326","A Systematic Review and Meta-Analysis of Combination Behavioral Interventions Co-Targeting Psychosocial Syndemics and HIV-Related Health Behaviors for Sexual Minority Men","Pantalone DW, Nelson KM, Batchelder AW, Chiu C, Gunn HA, Horvath KJ.","J Sex Res. 2020 Jul;57(6):681-708. doi: 10.1080/00224499.2020.1728514. Epub 2020 Feb 20.","Pantalone DW","J Sex Res","2020","2020/02/21","PMC7457381","NIHMS1619540","10.1080/00224499.2020.1728514"
"37268982","Epigenetic age acceleration mediates the association between smoking and diabetes-related outcomes","Chang XY, Lin WY.","Clin Epigenetics. 2023 Jun 3;15(1):94. doi: 10.1186/s13148-023-01512-x.","Chang XY","Clin Epigenetics","2023","2023/06/02","PMC10239178","","10.1186/s13148-023-01512-x"
"41207303","Biological age measured by DNA methylation clocks and frailty: a systematic review and meta-analysis","Tay JH, Barros D, Wang W, Wazny VK, Maier AB.","Lancet Healthy Longev. 2025 Oct;6(10):100773. doi: 10.1016/j.lanhl.2025.100773. Epub 2025 Nov 6.","Tay JH","Lancet Healthy Longev","2025","2025/11/09","","","10.1016/j.lanhl.2025.100773"
"36198168","Biological age calculators to motivate lifestyle change: Environmental scan of online tools and evaluation of behaviour change techniques","Bonner C, Batcup C, Fajardo M, Trevena L.","Health Promot J Austr. 2023 Feb;34(1):202-210. doi: 10.1002/hpja.671. Epub 2022 Oct 26.","Bonner C","Health Promot J Austr","2023","2022/10/05","PMC10091808","","10.1002/hpja.671"
"40058550","Chemical and climatic environmental exposures and epigenetic aging: A systematic review","Fadadu RP, Bozack AK, Cardenas A.","Environ Res. 2025 Jun 1;274:121347. doi: 10.1016/j.envres.2025.121347. Epub 2025 Mar 7.","Fadadu RP","Environ Res","2025","2025/03/09","PMC12048242","NIHMS2065741","10.1016/j.envres.2025.121347"
"37953967","Associations Between Epigenetic Age Acceleration and microRNA Expression Among U.S. Firefighters","Jung AM, Furlong MA, Goodrich JM, Cardenas A, Beitel SC, Littau SR, Caban-Martinez AJ, Gulotta JJ, Wallentine DD, Urwin D, Gabriel J, Hughes J, Graber JM, Grant C, Burgess JL.","Epigenet Insights. 2023 Nov 8;16:25168657231206301. doi: 10.1177/25168657231206301. eCollection 2023.","Jung AM","Epigenet Insights","2023","2023/11/13","PMC10634256","","10.1177/25168657231206301"
"37036021","Physical activity is associated with slower epigenetic ageing-Findings from the Rhineland study","Fox FAU, Liu D, Breteler MMB, Aziz NA.","Aging Cell. 2023 Jun;22(6):e13828. doi: 10.1111/acel.13828. Epub 2023 Apr 10.","Fox FAU","Aging Cell","2023","2023/04/10","PMC10265180","","10.1111/acel.13828"
"40032851","Sleep traits causally affect epigenetic age acceleration: a Mendelian randomization study","Zhao W, Yu S, Xu Y, Liao H, Chen D, Lu T, Ren Z, Ge L, Liu J, Sun J.","Sci Rep. 2025 Mar 3;15(1):7439. doi: 10.1038/s41598-024-84957-1.","Zhao W","Sci Rep","2025","2025/03/03","PMC11876307","","10.1038/s41598-024-84957-1"
"37149020","Associations between prenatal phthalate exposure and childhood epigenetic age acceleration","Khodasevich D, Holland N, Hubbard A, Harley K, Deardorff J, Eskenazi B, Cardenas A.","Environ Res. 2023 Aug 15;231(Pt 1):116067. doi: 10.1016/j.envres.2023.116067. Epub 2023 May 5.","Khodasevich D","Environ Res","2023","2023/05/06","PMC10330458","NIHMS1900975","10.1016/j.envres.2023.116067"
"37300823","Occupational characteristics and epigenetic aging among older adults in the United States","Andrasfay T, Crimmins E.","Epigenetics. 2023 Dec;18(1):2218763. doi: 10.1080/15592294.2023.2218763.","Andrasfay T","Epigenetics","2023","2023/06/10","PMC10259313","","10.1080/15592294.2023.2218763"
"35758529","Association between depression and epigenetic age acceleration: A co-twin control study","Liu C, Wang Z, Hui Q, Goldberg J, Smith NL, Shah AJ, Murrah N, Shallenberger L, Diggers E, Bremner JD, Sun YV, Vaccarino V.","Depress Anxiety. 2022 Dec;39(12):741-750. doi: 10.1002/da.23279. Epub 2022 Jun 27.","Liu C","Depress Anxiety","2022","2022/06/27","PMC9729366","NIHMS1818253","10.1002/da.23279"
"39970931","Epigenetic age acceleration in idiopathic pulmonary fibrosis revealed by DNA methylation clocks","Kurbanov DB, Ahangari F, Adams T, De Man R, Tang J, Carlon M, Abu Hussein N, Cortesi E, Zapata M, De Sadelaar L, Wuyts W, Vanaudenaerde B, Kaminski N, McDonough JE.","Am J Physiol Lung Cell Mol Physiol. 2025 Mar 1;328(3):L456-L462. doi: 10.1152/ajplung.00171.2024. Epub 2025 Feb 19.","Kurbanov DB","Am J Physiol Lung Cell Mol Physiol","2025","2025/02/19","PMC12169420","NIHMS2084935","10.1152/ajplung.00171.2024"
"36202116","Association between work characteristics and epigenetic age acceleration: cross-sectional results from UK - Understanding Society study","Freni-Sterrantino A, Fiorito G, d'Errico A, Virtanen M, Ala-Mursula L, Järvelin MR, Vineis P, Robinson O.","Aging (Albany NY). 2022 Oct 5;14(19):7752-7773. doi: 10.18632/aging.204327. Epub 2022 Oct 5.","Freni-Sterrantino A","Aging (Albany NY)","2022","2022/10/06","PMC9596217","","10.18632/aging.204327"
"39096687","Prenatal and early-life air pollutant exposure and epigenetic aging acceleration","Lee DW, Lim YH, Choi YJ, Kim S, Shin CH, Lee YA, Kim BN, Kim JI, Hong YC.","Ecotoxicol Environ Saf. 2024 Sep 15;283:116823. doi: 10.1016/j.ecoenv.2024.116823. Epub 2024 Aug 2.","Lee DW","Ecotoxicol Environ Saf","2024","2024/08/03","","","10.1016/j.ecoenv.2024.116823"
"36107108","Association of Accelerometer-Measured Physical Activity and Sedentary Time with Epigenetic Markers of Aging","Spartano NL, Wang R, Yang Q, Chernofsky A, Murabito JM, Vasan RS, Levy D, Beiser AS, Seshadri S.","Med Sci Sports Exerc. 2023 Feb 1;55(2):264-272. doi: 10.1249/MSS.0000000000003041. Epub 2022 Sep 13.","Spartano NL","Med Sci Sports Exerc","2023","2022/09/15","PMC9840651","NIHMS1835407","10.1249/MSS.0000000000003041"
"40442824","Sleep patterns and DNA methylation age acceleration in middle-aged and older Chinese adults","Diao T, Liu K, Zhou L, Wang Q, Lyu J, Zhu Z, Chen F, Qin W, Yang H, Wang C, Zhang X, Wu T.","Clin Epigenetics. 2025 May 29;17(1):87. doi: 10.1186/s13148-025-01898-w.","Diao T","Clin Epigenetics","2025","2025/05/29","PMC12123996","","10.1186/s13148-025-01898-w"
"38358578","GrimAge is elevated in older adults with mild COVID-19 an exploratory analysis","García-delaTorre P, Rivero-Segura NA, Sánchez-García S, Becerril-Rojas K, Sandoval-Rodriguez FE, Castro-Morales D, Cruz-Lopez M, Vazquez-Moreno M, Rincón-Heredia R, Ramirez-Garcia P, Gomez-Verjan JC.","Geroscience. 2024 Aug;46(4):3511-3524. doi: 10.1007/s11357-024-01095-2. Epub 2024 Feb 15.","García-delaTorre P","Geroscience","2024","2024/02/15","PMC11226692","","10.1007/s11357-024-01095-2"
"36126422","Life-course exposure to air pollution and biological ageing in the Lothian Birth Cohort 1936","Baranyi G, Deary IJ, McCartney DL, Harris SE, Shortt N, Reis S, Russ TC, Ward Thompson C, Vieno M, Cox SR, Pearce J.","Environ Int. 2022 Nov;169:107501. doi: 10.1016/j.envint.2022.107501. Epub 2022 Sep 6.","Baranyi G","Environ Int","2022","2022/09/20","","","10.1016/j.envint.2022.107501"
